roi_ind,important,r,p,r_abs,r_sign
197,0.0,0.49,0.10807430981724025,0.49,pos
198,0.0,0.03,0.9370947645282739,0.03,pos
199,0.0,0.15,0.6386623988815749,0.15,pos
200,0.0,0.02,0.9578852770764611,0.02,pos
201,0.0,-0.16,0.6169665899743032,0.16,neg
202,0.0,0.08,0.8077834741220952,0.08,pos
203,0.0,-0.07,0.8271811365029711,0.07,neg
204,0.0,-0.37,0.23127186164778593,0.37,neg
205,0.0,-0.5,0.10074699673086757,0.5,neg
206,0.0,0.02,0.9424829891135797,0.02,pos
207,0.0,-0.56,0.055887627144338065,0.56,neg
208,0.0,-0.26,0.42185030066781937,0.26,neg
209,0.0,-0.04,0.9121528675086058,0.04,neg
210,0.0,-0.45,0.13911737803721003,0.45,neg
211,0.0,-0.04,0.8918363082941869,0.04,neg
212,0.0,-0.26,0.4115475726605233,0.26,neg
213,0.0,-0.42,0.17105526082861613,0.42,neg
214,0.0,-0.15,0.6371161994104856,0.15,neg
215,0.0,-0.22,0.4867310264015421,0.22,neg
216,1.0,-0.45,0.13854928271574005,0.45,neg
217,0.0,-0.19,0.5530337848402284,0.19,neg
218,0.0,-0.48,0.11827604160194556,0.48,neg
219,0.0,-0.56,0.060224352761308254,0.56,neg
220,0.0,0.05,0.8889090391246313,0.05,pos
221,0.0,-0.36,0.2516233329020382,0.36,neg
222,0.0,-0.39,0.2161652146232664,0.39,neg
223,0.0,-0.4,0.19519186860381843,0.4,neg
224,0.0,-0.13,0.6893711199822893,0.13,neg
225,0.0,-0.11,0.7245479903712163,0.11,neg
226,0.0,-0.37,0.2331430691838465,0.37,neg
227,0.0,-0.25,0.43858597131758953,0.25,neg
228,0.0,-0.35,0.2660433066910876,0.35,neg
229,0.0,-0.04,0.9080596728312953,0.04,neg
230,0.0,-0.37,0.23651130586119778,0.37,neg
231,0.0,-0.44,0.15041294550032272,0.44,neg
232,0.0,-0.27,0.3905737137583421,0.27,neg
233,0.0,-0.08,0.8152902856875022,0.08,neg
234,0.0,-0.47,0.12477030572476312,0.47,neg
235,0.0,-0.2,0.5246720896191032,0.2,neg
236,0.0,-0.15,0.6331545387212627,0.15,neg
237,0.0,-0.18,0.5775418721919555,0.18,neg
238,0.0,-0.35,0.2605632357436406,0.35,neg
239,0.0,-0.2,0.5240397946619276,0.2,neg
